"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4101","shouldNotLoginWithEmptyPassword","","2026-06-13","passed","2026-06-13","","ru.iteco.fmhandroid.ui.AuthorizationTest","ru.iteco.fmhandroid.ui.AuthorizationTest","shouldNotLoginWithEmptyPassword"
"","4151","shouldOpenQuotesSection","","2026-06-14","passed","2026-06-14","","ru.iteco.fmhandroid.ui.MainPageTest","ru.iteco.fmhandroid.ui.MainPageTest","shouldOpenQuotesSection"
"Проверка отмены создания новости","9859","Отмена создания новости","","2026-06-14","passed","2026-06-14","","ru.iteco.fmhandroid.ui.NewsTest","ru.iteco.fmhandroid.ui.NewsTest","shouldCancelNewsCreation"
"Проверка создания новости с валидными данными","10378","Создание новости","","2026-06-14","passed","2026-06-14","","ru.iteco.fmhandroid.ui.NewsTest","ru.iteco.fmhandroid.ui.NewsTest","shouldCreateNews"
"","6489","shouldOpenNewsSectionFromMainMenu","","2026-06-14","passed","2026-06-14","","ru.iteco.fmhandroid.ui.MainPageTest","ru.iteco.fmhandroid.ui.MainPageTest","shouldOpenNewsSectionFromMainMenu"
"Проверка редактирования существующей новости","9418","Редактирование новости","","2026-06-14","passed","2026-06-14","","ru.iteco.fmhandroid.ui.NewsTest","ru.iteco.fmhandroid.ui.NewsTest","shouldEditNews"
"","4840","shouldLoginWithValidLoginAndPassword","","2026-06-13","passed","2026-06-13","","ru.iteco.fmhandroid.ui.AuthorizationTest","ru.iteco.fmhandroid.ui.AuthorizationTest","shouldLoginWithValidLoginAndPassword"
"Проверка удаления новости","9387","Удаление новости","","2026-06-14","passed","2026-06-14","","ru.iteco.fmhandroid.ui.NewsTest","ru.iteco.fmhandroid.ui.NewsTest","shouldDeleteNews"
"","3930","shouldNotLoginWithInvalidLoginAndPassword","","2026-06-13","passed","2026-06-13","","ru.iteco.fmhandroid.ui.AuthorizationTest","ru.iteco.fmhandroid.ui.AuthorizationTest","shouldNotLoginWithInvalidLoginAndPassword"
"","7366","shouldLogout","","2026-06-13","passed","2026-06-13","","ru.iteco.fmhandroid.ui.AuthorizationTest","ru.iteco.fmhandroid.ui.AuthorizationTest","shouldLogout"
"","4172","shouldNotLoginWithEmptyLogin","","2026-06-13","passed","2026-06-13","","ru.iteco.fmhandroid.ui.AuthorizationTest","ru.iteco.fmhandroid.ui.AuthorizationTest","shouldNotLoginWithEmptyLogin"
"","4577","shouldOpenAboutSectionFromMainMenu","","2026-06-14","passed","2026-06-14","","ru.iteco.fmhandroid.ui.MainPageTest","ru.iteco.fmhandroid.ui.MainPageTest","shouldOpenAboutSectionFromMainMenu"
"","4482","shouldOpenMainMenu","","2026-06-14","passed","2026-06-14","","ru.iteco.fmhandroid.ui.MainPageTest","ru.iteco.fmhandroid.ui.MainPageTest","shouldOpenMainMenu"
